Slime ID, Wave Number, Fitness Pool, Min Path Distance To Sheep, Total Path Distance,Sheep Distance Fitness,Parent One, Parent Two, Main Type, Secondary Type,Main Resistance Gene, Main Resistance Trait, Secondary Resistance Gene, Secondary Resistance Trait, Tower Attraction Gene, Tower Attraction Trait, Slime Optimal Distance Gene, Slime Optimal Distance Trait, Speed Gene, Speed Trait, Turn Rate Gene, Turn Rate Trait, Time Alive After Increased Alignment Strength,
93, 7, 0, 111.9675, 119.1194, 442.605, 49,288,Fire,Basic,0.55,0.55,0.35,0.35,-7.380999,2.011424,-4.313657,0.0572695,4.818046,4.731897,-2.597273,0.225459,0,
94, 7, 0, 100.0755, 106.1021, 494.6799, 288,145,Blaster,Fire,0.55,0.55,0.35,0.35,-5.896529,2.023984,1.067432,0.7825586,-0.4350164,2.298986,4.023929,0.6132266,0,
95, 7, 0, 82.27845, 86.99654, 600.3954, 217,43,Blaster,Blaster,0.55,0.55,0.35,0.35,4.718274,6.058691,-3.189027,0.1000601,1.543473,2.992189,-0.3414056,0.3100047,0,
96, 7, 0, 87.02751, 90.50367, 568.0043, 288,202,Blaster,Fire,0.55,0.55,0.35,0.35,0.04631114,2.459995,1.644247,1.017548,10.3347,8.702951,0.02490348,0.3277305,0,
97, 7, 0, 91.19456, 96.22462, 542.3313, 19,95,Blaster,Acid,0.55,0.55,0.35,0.35,-3.064255,2.098549,-0.9383379,0.3020232,8.177446,7.133063,5.907305,0.8070098,0,
98, 7, 0, 129.1779, 136.3799, 384.0898, 259,297,Basic,Ice,0.55,0.55,0.35,0.35,-3.064255,2.098549,-0.4508382,0.3822029,4.054845,4.259749,5.907305,0.8070098,0,
99, 7, 0, 94.64988, 98.41563, 522.7398, 21,211,Basic,Blaster,0.55,0.55,0.35,0.35,0.4296703,2.555026,1.14595,0.81135,4.81409,4.729354,2.012065,0.4474641,0,
100, 7, 0, 93.68166, 97.96356, 528.0853, 47,33,Blaster,Shock,0.55,0.55,0.35,0.35,0.787255,2.660813,1.334504,0.8844689,3.735483,4.073679,-3.613472,0.1987759,0,
101, 7, 0, 129.6719, 141.3319, 382.6378, 123,36,Fire,Basic,0.55,0.55,0.35,0.35,-3.513867,2.078771,-1.320758,0.250777,1.775817,3.090578,-0.7745316,0.2906151,0,
102, 7, 0, 113.3927, 118.7383, 437.0908, 109,146,Basic,Basic,0.55,0.55,0.35,0.35,-0.1915802,2.409254,-0.3827806,0.3949102,0.8117498,2.706508,4.339077,0.6432683,0,
103, 7, 0, 59.6051, 65.00437, 825.0131, 227,289,Blaster,Blaster,0.55,0.55,0.35,0.35,1.075787,2.760247,-0.5981177,0.3560349,-2.720051,1.769957,3.288882,0.5473582,0,
104, 7, 0, 110.061, 116.4107, 450.2031, 23,55,Basic,Fire,0.55,0.55,0.35,0.35,-1.597844,2.204283,-1.59242,0.2196254,4.500354,4.5308,-2.901254,0.2168426,0,
105, 7, 0, 59.19737, 62.56409, 830.6011, 285,39,Blaster,Blaster,0.55,0.55,0.35,0.35,-2.327637,2.142182,-2.206969,0.1624671,4.877759,4.77039,0.7516641,0.3667343,0,
106, 7, 0, 90.66609, 95.80956, 545.4579, 207,92,Blaster,Blaster,0.55,0.55,0.35,0.35,1.523745,2.943897,1.245649,0.8492982,0.2793814,2.520802,-0.7853881,0.2901501,0,
107, 7, 0, 91.91544, 97.30305, 538.1237, 25,95,Basic,Blaster,0.55,0.55,0.35,0.35,-2.820111,2.111287,-0.9383379,0.3020232,8.177446,7.133063,5.907305,0.8070098,0,
108, 7, 0, 92.13721, 98.71044, 536.8424, 28,58,Laser,Blaster,0.55,0.55,0.35,0.35,2.359733,3.406146,-0.4092104,0.389928,-3.298103,1.672158,6.313932,0.8526923,0,
109, 7, 0, 89.30251, 94.00298, 553.6945, 62,172,Basic,Blaster,0.55,0.55,0.35,0.35,-2.820111,2.111287,-4.437374,0.05385276,0.2793814,2.520802,-2.315554,0.2339681,0,
